version,cpu,file,file_hash,file_size,source_hash,source_size,facets,volume,render_time
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,./stl/50ft_v3/gnal_50ft_spacer.stl,6501b1fd8bc73beac82f34447618d8653c60cb091607e5e839ac5747aea4606b,991452,8b4d34ccee88088368a8ba5c6e0f1f0d4cee7851397dd714617b620b95c45b35,6125,5736,2888.154541,69
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,./stl/50ft_v3/gnal_50ft_top.stl,2e296b2ea1f293d56f0dc47ce7f18b53580f3cc6b722bfe5b0242efd5efe0fba,3736590,8b4d34ccee88088368a8ba5c6e0f1f0d4cee7851397dd714617b620b95c45b35,6125,22096,57933.933594,658
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,./stl/50ft_v3/gnal_50ft_spiral.stl,21eaf32e6fb207f8bb61e10221b37d418fff3a90a4004e425b4c99e4f4d14f8f,38560160,8b4d34ccee88088368a8ba5c6e0f1f0d4cee7851397dd714617b620b95c45b35,6125,216826,172470.609375,6
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,./stl/50ft_v3/gnal_50ft_insert_s8.stl,548c2d90d0f3bdfd30ae0ddb2c75296192793337122e229ae0b2812b2f9a2fab,5228272,8b4d34ccee88088368a8ba5c6e0f1f0d4cee7851397dd714617b620b95c45b35,6125,27230,3493.548340,300
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,./stl/50ft_v3/gnal_50ft_insert_16.stl,9c91949c24cb34922bd3f96334873012f1c4eba6703493e3e04126f0de07e473,7922994,8b4d34ccee88088368a8ba5c6e0f1f0d4cee7851397dd714617b620b95c45b35,6125,41426,4665.014648,436
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,./stl/50ft_v3/gnal_50ft_spacer_16.stl,5750e732c7eaf6c50c56602fb4e828e1536b11a26f7130c7173e22a218e04b43,1999940,8b4d34ccee88088368a8ba5c6e0f1f0d4cee7851397dd714617b620b95c45b35,6125,12040,4019.466797,267
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,./stl/100ft_v3/gnal_100ft_spacer.stl,72547264ba83823dd6aa2119da3b540f03e939ec2a1988f509bd05029c327b36,991452,0be7bef068003824789cf868c57700a3bc2da6970cad03375e8098076200c090,9404,5736,2888.155762,67
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,./stl/100ft_v3/gnal_100ft_top.stl,f68ebc3c7f8dc74b210bc07e423cb2b943500ec82aaa614c80197401c95f6358,5478875,0be7bef068003824789cf868c57700a3bc2da6970cad03375e8098076200c090,9404,32400,102557.625000,982
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,./stl/100ft_v3/gnal_100ft_spiral.stl,f57d1d8f08a50b8d7168206c60137708c1db82e74460e8f07ead2dbe8664c12d,76263735,0be7bef068003824789cf868c57700a3bc2da6970cad03375e8098076200c090,9404,429394,332991.468750,9
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,./stl/100ft_v3/gnal_100ft_insert_s8.stl,86b2965448a0bff72d384133c8d183986cf48c89d543509b3dba5f096ea4be4d,5228272,0be7bef068003824789cf868c57700a3bc2da6970cad03375e8098076200c090,9404,27230,3493.513916,292
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,./stl/100ft_v3/gnal_100ft_insert_16.stl,ff0bcf68a7706bbe87099f69c68f74225f982de7d725a95001091bb7d9ed9401,7922994,0be7bef068003824789cf868c57700a3bc2da6970cad03375e8098076200c090,9404,41426,4665.007324,437
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,./stl/100ft_v3/gnal_100ft_spacer_16.stl,9def63a1d8a33ae1d5eaf94df34c2285f40c3079373775b155cccbbfa32730b4,2503656,0be7bef068003824789cf868c57700a3bc2da6970cad03375e8098076200c090,9404,15112,4019.487549,395
