version,cpu,file,file_hash,file_size,source_hash,source_size,facets,volume,render_time
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,gnal_50ft_spacer.stl,69be0baca3be045d8fa771dd6382a48b5d32acf0776ce82f3f633377ec44cbfa,991452,4e23c13fc2b729dfefe0a5efe6d256dcd1c3a083be08359a0c049cf9bed25a6a,28143,5736,2888.155029,68
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,gnal_50ft_top.stl,b1e270aeeefada9ffa25656ce73091900b4cdeeb16d2dccd3bd1111814711860,2132181,4e23c13fc2b729dfefe0a5efe6d256dcd1c3a083be08359a0c049cf9bed25a6a,28143,12624,57936.746094,233
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,gnal_50ft_spiral_top.stl,15dc7a3170c58259671820f66676754709c5b2d566040f3162febd75c359dad1,36509561,4e23c13fc2b729dfefe0a5efe6d256dcd1c3a083be08359a0c049cf9bed25a6a,28143,214404,120299.773438,12249
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,gnal_50ft_spiral_bottom.stl,2abbf4cd59d69c9e26bb874c6d357c2189ce7c6bdd20ec3a6c24f95be168476b,36606204,4e23c13fc2b729dfefe0a5efe6d256dcd1c3a083be08359a0c049cf9bed25a6a,28143,214970,121519.937500,13698
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,gnal_100ft_spacer.stl,818e155920d87df5dedf031317ed3284cdcc0bc99158890b06d049e7e78b6fef,991452,03fb4a3ee597994e6e80ff396dc8a8b6b3a64284479f4bbbec937e36954b7a75,22015,5736,2888.149658,74
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,gnal_100ft_top.stl,99d1c07a7e9d9b3bb54ff5561f0f5b144f21d96875226e3b258e14c564a06259,3302563,03fb4a3ee597994e6e80ff396dc8a8b6b3a64284479f4bbbec937e36954b7a75,22015,19552,102590.546875,477
2019.05,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,gnal_100ft_spiral_top.stl,98324f3e4cd894efc892f65b667db52a5702193c0f49c12d3f32430b532b3c52,92423369,03fb4a3ee597994e6e80ff396dc8a8b6b3a64284479f4bbbec937e36954b7a75,22015,542836,223602.078125,89137
